Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,dc1-borderleaf1a,Ethernet1,10.254.0.17/31,spine,dc1-spine1,Ethernet5,10.254.0.16/31
l3leaf,dc1-borderleaf1a,Ethernet2,10.254.0.19/31,spine,dc1-spine2,Ethernet5,10.254.0.18/31
l3leaf,dc1-borderleaf1a,Ethernet7,172.100.100.0/31,l3leaf,dc2-borderleaf1a,Ethernet7,172.100.100.1/31
l3leaf,dc1-borderleaf1b,Ethernet1,10.254.0.21/31,spine,dc1-spine1,Ethernet6,10.254.0.20/31
l3leaf,dc1-borderleaf1b,Ethernet2,10.254.0.23/31,spine,dc1-spine2,Ethernet6,10.254.0.22/31
l3leaf,dc1-borderleaf1b,Ethernet8,172.100.100.2/31,l3leaf,dc2-borderleaf1b,Ethernet8,172.100.100.3/31
l3leaf,dc1-leaf1a,Ethernet1,10.254.0.1/31,spine,dc1-spine1,Ethernet1,10.254.0.0/31
l3leaf,dc1-leaf1a,Ethernet2,10.254.0.3/31,spine,dc1-spine2,Ethernet1,10.254.0.2/31
l3leaf,dc1-leaf1b,Ethernet1,10.254.0.5/31,spine,dc1-spine1,Ethernet2,10.254.0.4/31
l3leaf,dc1-leaf1b,Ethernet2,10.254.0.7/31,spine,dc1-spine2,Ethernet2,10.254.0.6/31
l3leaf,dc1-leaf2a,Ethernet1,10.254.0.9/31,spine,dc1-spine1,Ethernet3,10.254.0.8/31
l3leaf,dc1-leaf2a,Ethernet2,10.254.0.11/31,spine,dc1-spine2,Ethernet3,10.254.0.10/31
l3leaf,dc1-leaf2b,Ethernet1,10.254.0.13/31,spine,dc1-spine1,Ethernet4,10.254.0.12/31
l3leaf,dc1-leaf2b,Ethernet2,10.254.0.15/31,spine,dc1-spine2,Ethernet4,10.254.0.14/31
l3leaf,dc2-borderleaf1a,Ethernet1,10.255.0.17/31,spine,dc2-spine1,Ethernet5,10.255.0.16/31
l3leaf,dc2-borderleaf1a,Ethernet2,10.255.0.19/31,spine,dc2-spine2,Ethernet5,10.255.0.18/31
l3leaf,dc2-borderleaf1b,Ethernet1,10.255.0.21/31,spine,dc2-spine1,Ethernet6,10.255.0.20/31
l3leaf,dc2-borderleaf1b,Ethernet2,10.255.0.23/31,spine,dc2-spine2,Ethernet6,10.255.0.22/31
l3leaf,dc2-leaf1a,Ethernet1,10.255.0.1/31,spine,dc2-spine1,Ethernet1,10.255.0.0/31
l3leaf,dc2-leaf1a,Ethernet2,10.255.0.3/31,spine,dc2-spine2,Ethernet1,10.255.0.2/31
l3leaf,dc2-leaf1b,Ethernet1,10.255.0.5/31,spine,dc2-spine1,Ethernet2,10.255.0.4/31
l3leaf,dc2-leaf1b,Ethernet2,10.255.0.7/31,spine,dc2-spine2,Ethernet2,10.255.0.6/31
l3leaf,dc2-leaf2a,Ethernet1,10.255.0.9/31,spine,dc2-spine1,Ethernet3,10.255.0.8/31
l3leaf,dc2-leaf2a,Ethernet2,10.255.0.11/31,spine,dc2-spine2,Ethernet3,10.255.0.10/31
l3leaf,dc2-leaf2b,Ethernet1,10.255.0.13/31,spine,dc2-spine1,Ethernet4,10.255.0.12/31
l3leaf,dc2-leaf2b,Ethernet2,10.255.0.15/31,spine,dc2-spine2,Ethernet4,10.255.0.14/31
